Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
PJ Cummins,15,8,23,6,1.53,3,Sri Lanka,Brisbane,1/24/2019,Australia
CEL Ambrose,10,1,24,6,2.4,4,England,Port of Spain,3/25/1994,West Indies
PCR Tufnell,14.5,3,25,6,1.72,2,West Indies,The Oval,8/8/1991,England
Abdur Rehman,10.166666666666666,4,25,6,2.45,4,England,Abu Dhabi,1/25/2012,Pakistan
SCJ Broad,13.666666666666666,6,25,6,1.82,1,India,Manchester,8/7/2014,England
M Muralidaran,13,3,26,6,2,3,India,Colombo (SSC),7/23/2008,Sri Lanka
CS Martin,8.5,3,26,6,3.05,3,Zimbabwe,Napier,1/26/2012,New Zealand
DJ Nash,11,3,27,6,2.45,1,India,Mohali,10/10/1999,New Zealand
Shahadat Hossain,15.5,8,27,6,1.74,2,South Africa,Mirpur,2/22/2008,Bangladesh
PJ Cummins,11,3,27,6,2.45,3,India,Melbourne,12/26/2018,Australia
JJ Bumrah,12.166666666666666,3,27,6,2.21,2,West Indies,Kingston,8/30/2019,India
DL Vettori,22,13,28,6,1.27,3,Bangladesh,Dhaka,10/19/2004,New Zealand
M Muralidaran,14.833333333333334,6,28,6,1.88,1,Bangladesh,Kandy,7/11/2007,Sri Lanka
WPUJC Vaas,18,8,29,6,1.61,4,South Africa,Colombo (SSC),8/11/2004,Sri Lanka
KC Brathwaite,11.5,4,29,6,2.52,3,Sri Lanka,Colombo (PSS),10/22/2015,West Indies
SM Pollock,13.666666666666666,6,30,6,2.19,1,Sri Lanka,Cape Town,1/2/2001,South Africa
Shoaib Akhtar,18,3,30,6,1.66,3,New Zealand,Wellington,12/26/2003,Pakistan
TA Boult,15,8,30,6,2,2,Sri Lanka,Christchurch,12/26/2018,New Zealand
SK Warne,19.83333333333333,9,31,6,1.56,3,New Zealand,Hobart,11/26/1993,Australia
R Ashwin,16.5,5,31,6,1.87,2,New Zealand,Hyderabad,8/23/2012,India
SCJ Broad,14,4,31,6,2.21,2,West Indies,Manchester,7/24/2020,England
JG Bracewell,22,8,32,6,1.45,3,Australia,Auckland,3/13/1986,New Zealand
MD Marshall,18,5,32,6,1.77,2,England,Lord's,6/16/1988,West Indies
A Nel,16.333333333333332,3,32,6,1.95,3,West Indies,Bridgetown,4/21/2005,South Africa
K Rabada,10.666666666666666,2,32,6,3,4,England,Centurion,1/22/2016,South Africa
TA Boult,10.666666666666666,3,32,6,3,1,England,Auckland,3/22/2018,New Zealand
MDK Perera,14,4,32,6,2.28,4,South Africa,Galle,7/12/2018,Sri Lanka
BKV Prasad,10.333333333333334,5,33,6,3.19,3,Pakistan,Chennai,1/28/1999,India
SK Warne,18,5,33,6,1.83,3,England,Nottingham,8/2/2001,Australia
RL Johnson,12,4,33,6,2.75,2,Zimbabwe,Chester-le-Street,6/5/2003,England
SR Watson,11,3,33,6,3,2,Pakistan,Leeds,7/21/2010,Australia
Shakib Al Hasan,17,5,33,6,1.94,3,West Indies,Kingston,7/12/2018,Bangladesh
Taijul Islam,11.333333333333334,2,33,6,2.91,4,West Indies,Chattogram,11/22/2018,Bangladesh
JJ Bumrah,15.833333333333334,4,33,6,2.08,2,Australia,Melbourne,12/26/2018,India
CEL Ambrose,24.666666666666668,7,34,6,1.37,4,South Africa,Bridgetown,4/18/1992,West Indies
Waqar Younis,14,4,34,6,2.42,1,Sri Lanka,Kandy,8/26/1994,Pakistan
SK Warne,21,9,34,6,1.61,3,South Africa,Sydney,1/2/1998,Australia
RJ Kirtley,16.333333333333332,7,34,6,2.08,4,South Africa,Nottingham,8/14/2003,England
DW Steyn,8.333333333333334,2,34,6,4.08,3,West Indies,Centurion,12/17/2014,South Africa
SNJ O'Keefe,13.166666666666666,2,35,6,2.65,2,India,Pune,2/23/2017,Australia
SNJ O'Keefe,15,4,35,6,2.33,4,India,Pune,2/23/2017,Australia
M Muralidaran,21,8,36,6,1.71,3,West Indies,Colombo (SSC),7/13/2005,Sri Lanka
BA Stokes,21,8,36,6,1.71,3,Australia,Nottingham,8/6/2015,England
Bilal Asif,21.5,7,36,6,1.67,2,Australia,Dubai (DSC),10/7/2018,Pakistan
DK Morrison,18.666666666666668,5,37,6,1.98,1,Australia,Auckland,3/12/1993,New Zealand
MS Panesar,17,5,37,6,2.17,3,New Zealand,Manchester,5/23/2008,England
D Olivier,14,3,37,6,2.64,1,Pakistan,Centurion,12/26/2018,South Africa
GR Dilley,24.83333333333333,9,38,6,1.53,2,New Zealand,Christchurch,2/12/1988,England
CJ McDermott,15,4,38,6,2.53,4,England,Perth,2/3/1995,Australia
MG Johnson,17.5,5,38,6,2.17,2,England,Perth,12/16/2010,Australia
AR Patel,21.666666666666668,6,38,6,1.75,1,England,Ahmedabad,2/24/2021,India
M Muralidaran,10,1,39,6,3.9,3,South Africa,Durban,12/26/2000,Sri Lanka
SM Pollock,17.666666666666668,4,39,6,2.2,3,England,Nottingham,8/14/2003,South Africa
M Zondeki,14.5,2,39,6,2.68,3,Zimbabwe,Centurion,3/11/2005,South Africa
L Ngidi,12.333333333333334,3,39,6,3.16,4,India,Centurion,1/13/2018,South Africa
IR Bishop,16,4,40,6,2.5,3,Australia,Perth,1/30/1993,West Indies
JN Gillespie,17,5,40,6,2.35,4,West Indies,Melbourne,12/26/2000,Australia
DAJ Bracewell,16.666666666666668,4,40,6,2.4,4,Australia,Hobart,12/9/2011,New Zealand
TL Best,12.166666666666666,1,40,6,3.28,3,Bangladesh,Khulna,11/21/2012,West Indies
TA Boult,15,5,40,6,2.66,2,West Indies,Wellington,12/11/2013,New Zealand
KA Maharaj,20.33333333333333,7,40,6,1.96,3,New Zealand,Wellington,3/16/2017,South Africa
JM Anderson,29,13,40,6,1.37,1,Sri Lanka,Galle,1/22/2021,England
AB Agarkar,16.333333333333332,2,41,6,2.51,3,Australia,Adelaide,12/12/2003,India
